Job Title,Company Name,Location,Time Posted,Job Description,num_applicants,Seniority level,Employment type,Job function,Industries,URL
Cognizant hiring for Selenium Testing,Cognizant,"Chennai, Tamil Nadu, India",1 week ago,,Not Available,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/cognizant-hiring-for-selenium-testing-at-cognizant-4174255443?trk=public_jobs_topcard-title
Associate,Cognizant,Mumbai Metropolitan Region,3 weeks ago,,Not Available,Entry level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-at-cognizant-4145598452?trk=public_jobs_topcard-title
"Quality Engineer - Selenium, Core Java",Cognizant,"Pune, Maharashtra, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/quality-engineer-selenium-core-java-at-cognizant-4174254476?trk=public_jobs_topcard-title
Program Director,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Director,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-director-at-cognizant-4151413864?trk=public_jobs_topcard-title
Business Analyst,Cognizant,"Pune, Maharashtra, India",2 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-analyst-at-cognizant-4162165065?trk=public_jobs_topcard-title
Program Manager,Cognizant,"Hyderabad, Telangana, India",5 days ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4152622307?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4159723785?trk=public_jobs_topcard-title
Business Associate,Cognizant,Greater Kolkata Area,2 weeks ago,,Not Available,Entry level,Full-time,Administrative,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-associate-at-cognizant-4165749746?trk=public_jobs_topcard-title
Business Associate,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Administrative,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-associate-at-cognizant-4036792005?trk=public_jobs_topcard-title
Deputy General Manager,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Director,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/deputy-general-manager-at-cognizant-4142230951?trk=public_jobs_topcard-title
Associate,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Not Available,Entry level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-at-cognizant-4159727220?trk=public_jobs_topcard-title
Team Manager,Cognizant,Mumbai Metropolitan Region,3 weeks ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/team-manager-at-cognizant-4146693245?trk=public_jobs_topcard-title
Product Manager,Cognizant,"Pune, Maharashtra, India",1 week ago,,Over 200 applicants,Entry level,Full-time,Product Management and Marketing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/product-manager-at-cognizant-4174258085?trk=public_jobs_topcard-title
Manager,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/manager-at-cognizant-4159726585?trk=public_jobs_topcard-title
Workday Consultant,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/workday-consultant-at-cognizant-4143151268?trk=public_jobs_topcard-title
Process Executive - Data,Cognizant,"Pune, Maharashtra, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-data-at-cognizant-4150012991?trk=public_jobs_topcard-title
Team Manager - B&L,Cognizant,"Hyderabad, Telangana, India",1 week ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/team-manager-b-l-at-cognizant-4168297914?trk=public_jobs_topcard-title
Project Manager,Cognizant,"Pune, Maharashtra, India",1 week ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/project-manager-at-cognizant-4170746683?trk=public_jobs_topcard-title
Process Executive - Voice,Cognizant,Greater Kolkata Area,1 week ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-voice-at-cognizant-4169555431?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4084217034?trk=public_jobs_topcard-title
Online Analyst - CM,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Not Available,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/online-analyst-cm-at-cognizant-4160231273?trk=public_jobs_topcard-title
Process Executive - Voice,Cognizant,Mumbai Metropolitan Region,2 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-voice-at-cognizant-4161135380?trk=public_jobs_topcard-title
Associate,Cognizant,"Pune, Maharashtra, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-at-cognizant-4158582695?trk=public_jobs_topcard-title
Sr. Executive,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/sr-executive-at-cognizant-4150331268?trk=public_jobs_topcard-title
Director - Cognizant Research,Cognizant,"Chennai, Tamil Nadu, India",5 days ago,,Over 200 applicants,Director,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/director-cognizant-research-at-cognizant-4152140533?trk=public_jobs_topcard-title
Python Developer,Cognizant,"Bangalore Urban, Karnataka, India",Not Available,,Over 200 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/python-developer-at-cognizant-4158493925?trk=public_jobs_topcard-title
Online Analyst - CM,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/online-analyst-cm-at-cognizant-4159139052?trk=public_jobs_topcard-title
Data Analytics/Data Analyst - Consultant,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/data-analytics-data-analyst-consultant-at-cognizant-4126308427?trk=public_jobs_topcard-title
Jr. Online Analyst - CM,Cognizant,"Bangalore Urban, Karnataka, India",Not Available,,Not Available,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/jr-online-analyst-cm-at-cognizant-4181217526?trk=public_jobs_topcard-title
Business Development,Cognizant,"Pune, Maharashtra, India",6 days ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/business-development-at-cognizant-4176930809?trk=public_jobs_topcard-title
Payments Business Analyst,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/payments-business-analyst-at-cognizant-4151415769?trk=public_jobs_topcard-title
Process Executive - CHD,Cognizant,"Gurgaon, Haryana, India",1 week ago,,Over 200 applicants,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-chd-at-cognizant-4168794193?trk=public_jobs_topcard-title
Manager - Projects,Cognizant,Greater Kolkata Area,3 weeks ago,,Over 200 applicants,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/manager-projects-at-cognizant-3927270381?trk=public_jobs_topcard-title
Manager - Projects,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/manager-projects-at-cognizant-4057202638?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Be among the first 25 applicants,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4159726587?trk=public_jobs_topcard-title
Senior Associate,Cognizant,Greater Kolkata Area,1 week ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4175081595?trk=public_jobs_topcard-title
Software Engineer in Test,Cognizant,"Bengaluru, Karnataka, India",4 weeks ago,,Over 200 applicants,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,https://in.linkedin.com/jobs/view/software-engineer-in-test-at-cognizant-4150185023?trk=public_jobs_topcard-title
Manager - Projects,Cognizant,"Bangalore Urban, Karnataka, India",1 week ago,,Be among the first 25 applicants,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/manager-projects-at-cognizant-4168207522?trk=public_jobs_topcard-title
Program Manager,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4145675928?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Be among the first 25 applicants,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4159726611?trk=public_jobs_topcard-title
Senior Associate,Cognizant,Greater Kolkata Area,2 weeks ago,,Be among the first 25 applicants,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4165750738?trk=public_jobs_topcard-title
Online Analyst - CM,Cognizant,"Bangalore Urban, Karnataka, India",2 days ago,,Not Available,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/online-analyst-cm-at-cognizant-4179406701?trk=public_jobs_topcard-title
Senior Process Executive - HC,Cognizant,"Noida, Uttar Pradesh, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-process-executive-hc-at-cognizant-4165753303?trk=public_jobs_topcard-title
Online Analyst - CM,Cognizant,"Hyderabad, Telangana, India",2 weeks ago,,Not Available,Entry level,Full-time,Marketing and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/online-analyst-cm-at-cognizant-4161046447?trk=public_jobs_topcard-title
Team Lead-P2P,Cognizant,"Chennai, Tamil Nadu, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/team-lead-p2p-at-cognizant-4160804377?trk=public_jobs_topcard-title
Program Manager,Cognizant,"Bangalore Urban, Karnataka, India",Not Available,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4180091262?trk=public_jobs_topcard-title
Sr. Business Analyst,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/sr-business-analyst-at-cognizant-4158581715?trk=public_jobs_topcard-title
Process Specialist-CDM/PV,Cognizant,Mumbai Metropolitan Region,2 weeks ago,,Not Available,Entry level,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-specialist-cdm-pv-at-cognizant-4165753342?trk=public_jobs_topcard-title
Java Developer,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/java-developer-at-cognizant-4119361035?trk=public_jobs_topcard-title
Network – Cisco Routing & Switching,Cognizant,"Pune, Maharashtra, India",2 days ago,,Over 200 applicants,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/network-%E2%80%93-cisco-routing-switching-at-cognizant-4179407554?trk=public_jobs_topcard-title
Sr. Test Analyst,Cognizant,"Gurgaon, Haryana, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/sr-test-analyst-at-cognizant-4158583540?trk=public_jobs_topcard-title
Program Manager,Cognizant,"Coimbatore, Tamil Nadu, India",2 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/program-manager-at-cognizant-4166369528?trk=public_jobs_topcard-title
Senior Process Executive-Voice,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-process-executive-voice-at-cognizant-4162104525?trk=public_jobs_topcard-title
Senior Testing Analyst,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Quality Assurance,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-testing-analyst-at-cognizant-4150326788?trk=public_jobs_topcard-title
Associate - Projects,Cognizant,Greater Kolkata Area,3 weeks ago,,Not Available,Entry level,Full-time,Management and Manufacturing,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/associate-projects-at-cognizant-4142235060?trk=public_jobs_topcard-title
Communications specialist,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/communications-specialist-at-cognizant-4137215860?trk=public_jobs_topcard-title
Consulting Analyst,Cognizant,"Chennai, Tamil Nadu, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/consulting-analyst-at-cognizant-4165754341?trk=public_jobs_topcard-title
Manager - Projects,Cognizant,"Bangalore Urban, Karnataka, India",2 weeks ago,,Be among the first 25 applicants,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/manager-projects-at-cognizant-4159722958?trk=public_jobs_topcard-title
Process Executive - CHD,Cognizant,"Hyderabad, Telangana, India",1 week ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/process-executive-chd-at-cognizant-4169553667?trk=public_jobs_topcard-title
Project Manager,Cognizant,"Pune, Maharashtra, India",1 week ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/project-manager-at-cognizant-4168702414?trk=public_jobs_topcard-title
Research & Content Development - Associate Director,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/research-content-development-associate-director-at-cognizant-4151536197?trk=public_jobs_topcard-title
Senior Process Executive-Voice,Cognizant,"Hyderabad, Telangana, India",3 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-process-executive-voice-at-cognizant-4151416574?trk=public_jobs_topcard-title
Consulting Analyst,Cognizant,"Chennai, Tamil Nadu, India",2 weeks ago,,Not Available,Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/consulting-analyst-at-cognizant-4165751540?trk=public_jobs_topcard-title
Project Manager,Cognizant,"Chennai, Tamil Nadu, India",3 weeks ago,,Not Available,Entry level,Full-time,Project Management and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/project-manager-at-cognizant-4151412991?trk=public_jobs_topcard-title
Software Engineer Associate,Cognizant,"Bangalore Urban, Karnataka, India",3 weeks ago,,Over 200 applicants,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/software-engineer-associate-at-cognizant-4137294384?trk=public_jobs_topcard-title
Senior Associate,Cognizant,"Bangalore Urban, Karnataka, India",1 week ago,,Not Available,Mid-Senior level,Full-time,Other,IT Services and IT Consulting and Business Consulting and Services,https://in.linkedin.com/jobs/view/senior-associate-at-cognizant-4175080751?trk=public_jobs_topcard-title
